	word	anim	nonanim	concr	abstr
11456	Quayle_PROPN	0.17557932436466214	0.17798492312431335	0.17141270637512207	0.18856997787952426
11457	stimulus_NOUN	0.17937377095222473	0.1700334995985031	0.17140936851501465	0.20215308666229248
11458	holy_ADJ	0.17662020027637482	0.15210437774658206	0.1714085042476654	0.20917317271232605
11459	entitled_ADJ	0.18384027481079104	0.16193601489067078	0.1714012324810028	0.20600013434886927
11460	good_ADJ	0.19055156409740448	0.17223621904850006	0.17139755189418793	0.24430866539478305
11461	bicker_VERB	0.15995237231254578	0.1777421534061432	0.17138004302978516	0.2947097420692444
11462	Marcus_PROPN	0.1501961350440979	0.1757161170244217	0.1713765114545822	0.13833174109458926
11463	partisan_NOUN	0.1862025260925293	0.156303271651268	0.17134489119052887	0.2851471900939941
11464	junior_NOUN	0.14818020164966586	0.18371735513210294	0.17133775353431702	0.13451334834098816
11465	montenegrin_NOUN	0.1460622251033783	0.1851019114255905	0.1713349223136902	0.16760261356830594
11466	diehard_NOUN	0.17398060858249664	0.16634520888328552	0.17133072018623352	0.25624167919158936
11467	outlive_VERB	0.18134582042694086	0.16106364130973816	0.1713292896747589	0.23639705777168274
11468	battlefield_NOUN	0.18543916940689087	0.18060347437858584	0.17131279408931732	0.21678149700164795
11469	territory_NOUN	0.17344646155834198	0.15277090668678284	0.17131085693836212	0.20286910235881805
11470	colombian_NOUN	0.1864847391843796	0.17035865783691406	0.1712786704301834	0.17340955138206482
11471	romney_NOUN	0.1731640100479126	0.1931658238172531	0.17126759886741638	0.18672910332679749
11472	enrich_VERB	0.15471802651882172	0.172520712018013	0.17126119136810306	0.23918645083904266
11473	taiwanese_ADJ	0.1783701628446579	0.1611347794532776	0.17124716937541962	0.17076972126960754
11474	mark_NOUN	0.17131923139095304	0.18048906326293945	0.1712353676557541	0.16419705748558044
11475	superficial_ADJ	0.19019541144371035	0.18043966591358185	0.1712268590927124	0.317464679479599
11476	causal_ADJ	0.17282694578170776	0.1843485534191132	0.1712171882390976	0.26916056871414185
11477	rush_VERB	0.13775405287742615	0.19592715799808505	0.17121067643165588	0.12748566269874573
