	word	moscow_concr	moscow_abstr	kazan_concr	kazan_abstr
14620	репетиторство	0.1215661697089672	0.15773085057735442	0.2037331894040108	0.15461921244859694
14621	телеканал	0.1215470425784588	0.11850864142179487	0.16330355927348136	0.13258752077817915
14622	первый	0.12154667526483535	0.11368065029382705	0.15375996530056	0.14624338373541831
14623	реформатор	0.12154527455568312	0.23968084305524825	0.1688550278544426	0.1948031097650528
14624	осмотр	0.1215431623160839	0.10437976643443107	0.1624939113855362	0.13449910581111907
14625	глубоко	0.1215400479733944	0.15154500156641007	0.1746004968881607	0.1838556557893753
14626	образ	0.12153166756033898	0.1772032156586647	0.13291809409856795	0.2781838342547417
14627	гомосексуализм	0.12151631563901903	0.2811721861362457	0.19308267533779144	0.19944311082363128
14628	транснациональный	0.1215157724916935	0.20562330931425093	0.13989649787545205	0.16703805327415466
14629	трата	0.12151526436209678	0.14359550848603247	0.14890658259391784	0.15373629927635193
14630	психически	0.12150964587926864	0.19421346932649614	0.21297890841960904	0.18804645389318467
14631	сенаторский	0.12150525003671644	0.15547555983066558	0.14303028360009193	0.12138835489749908
14632	серьезность	0.1215045176446438	0.289624497294426	0.14147306606173515	0.20453986376523967
14633	близость	0.12150376960635186	0.1928825318813324	0.1342331923544407	0.169761361181736
14634	просьба	0.1214997187256813	0.2085121676325798	0.18895070403814315	0.2070231094956398
14635	блестяще	0.1214920312166214	0.1676221802830696	0.15809512436389922	0.1607361063361168
14636	отпадать	0.12149078398942947	0.1481612280011177	0.12229143679142	0.1746314436197281
14637	рад	0.12147765457630158	0.14596618562936786	0.18144597858190534	0.19955518543720246
14638	гандапас	0.1214505061507225	0.17119596302509307	0.1348012112081051	0.14322924762964248
14639	гуру	0.12145036906003953	0.19495270103216167	0.17696178406476976	0.17394331395626067
14640	модельный	0.12144957035779952	0.12433313578367232	0.1193383015692234	0.13055046200752254
14641	автор	0.12144059762358665	0.21361297369003296	0.20531181544065474	0.1956505447626114
14642	описать	0.1214387558400631	0.18810690343379974	0.15905844122171406	0.18451963663101195
14643	выступать	0.12143728360533715	0.13831873759627342	0.11580840796232225	0.15980174541473388
14644	литература	0.12143458425998688	0.21922798007726668	0.17889283895492553	0.20323831140995025
14645	радикал	0.12142662331461905	0.16744159758090973	0.12718019038438794	0.1333702251315117
14646	путать	0.12141480594873427	0.14097021296620368	0.12167066633701325	0.14971553683280944
14647	пророссийский	0.12140763103961945	0.20719532370567326	0.12572687715291975	0.16130246073007584
14648	тщательность	0.12139348313212395	0.2455097213387489	0.13224628195166588	0.16350985914468766
14649	общаться	0.12138323187828065	0.15563875138759614	0.21723112910985948	0.20447012186050412
14650	элементарный	0.12136968672275544	0.1802062973380089	0.10866029784083367	0.16923717856407167
14651	неустойчивый	0.12135367691516875	0.17096078544855114	0.12221309021115305	0.13349522277712822
14652	числ	0.1213476002216339	0.1517411932349205	0.14147478044033052	0.1099648468196392
14653	софистика	0.12134739384055138	0.2702072754502297	0.14541230946779252	0.20638530254364013
14654	школа	0.12134011760354042	0.14898475706577302	0.24709997922182084	0.19668681919574735
14655	подростковый	0.12133617401123048	0.1485967792570591	0.2098516084253788	0.14994959011673928
14656	представляться	0.12132037281990052	0.1848867118358612	0.13412721678614614	0.16403491646051407
14657	эразм	0.12131773680448532	0.20390140861272807	0.17419383376836778	0.16140116900205612
14658	ер	0.12131294831633567	0.15545274466276168	0.13445689529180527	0.1237796626985073
14659	межевой	0.12130027115345003	0.1289487212896347	0.1259791299700737	0.11895413026213646
14660	дипломный	0.12129565551877022	0.16370596438646318	0.16360408514738084	0.12215135022997856
14661	люмпенский	0.12129390239715575	0.2404351726174355	0.11077684536576272	0.16919859796762465
14662	леонтьев	0.12129359766840934	0.21677210032939911	0.17600264102220534	0.18984290808439253
14663	корпоративный	0.1212900608778	0.1570209041237831	0.1278955891728401	0.15540439113974572
14664	отложение	0.12128289714455605	0.14703853875398634	0.1369410052895546	0.13896504491567613
14665	эпоха	0.12126909643411635	0.2275634914636612	0.12711598351597786	0.227754719555378
14666	сменить	0.12126694321632385	0.10531029552221298	0.12812693864107133	0.10209378376603126
14667	кириленко	0.12125249058008195	0.1372132770717144	0.1750860959291458	0.16354554817080494
14668	включение	0.1212463691830635	0.18976092487573626	0.1068888209760189	0.15697766542434693
14669	сомнение	0.12122295051813126	0.21635635197162628	0.13775272965431212	0.2782762289047241
14670	новосибирск	0.12122190743684767	0.1073415644466877	0.1846860095858574	0.15606046691536904
14671	твориться	0.121210964769125	0.18850169628858565	0.1641853541135788	0.1766929507255554
14672	воздухоносный	0.1212065115571022	0.1435602620244026	0.16863345950841904	0.12651497274637222
14673	слух	0.1212004691362381	0.17212919592857362	0.18027019500732425	0.19893988221883774
14674	обозреватель	0.12119525671005248	0.15428503528237342	0.15820794254541398	0.15114295333623887
14675	примыкать	0.1211952231824398	0.14307447597384454	0.1629016265273094	0.13818249925971032
14676	самосборка	0.12118811085820197	0.21085934042930604	0.11488244161009788	0.15427564606070518
14677	застройщик	0.12117727547883987	0.1356951780617237	0.2015516623854637	0.1345881588757038
14678	встречь	0.12116870507597925	0.11539655178785325	0.1403424136340618	0.16408165246248246
14679	посчитать	0.12113897278904916	0.14451320394873618	0.1471886709332466	0.12685790583491324
14680	альтернатива	0.12113887444138527	0.13906541466712952	0.11311796680092813	0.16688441708683968
14681	уклоняться	0.12113813385367392	0.2223961591720581	0.15412604808807373	0.16324480921030046
14682	выдача	0.12112803012132645	0.13067731708288194	0.14103661179542545	0.13216529563069346
14683	крепнуть	0.12112745344638826	0.19228750914335246	0.14272345155477525	0.18139999210834504
14684	великий	0.12112530395388604	0.2117313414812088	0.164941731095314	0.212287937104702
14685	растрата	0.12112117782235145	0.20245568305253986	0.15011415481567386	0.13375269025564193
14686	кадр	0.12110970541834833	0.1350900910794735	0.165133498609066	0.13586196973919867
14687	обслуживающий	0.12110784351825715	0.15788744315505027	0.15788407996296885	0.1320897877216339
14688	поступок	0.12110101282596587	0.2866898164153099	0.2074752509593964	0.27478002309799193
14689	отчет	0.12109684497117995	0.1510671503841877	0.15122136920690538	0.1544357344508171
14690	кадыров	0.12108062654733658	0.18164677172899246	0.18968720138072967	0.16669268757104874
14691	комбинационный	0.12107956781983376	0.1840093970298767	0.1075899973511696	0.1254773996770382
14692	чжао	0.1210775077342987	0.12364966422319412	0.17705023884773255	0.1427752010524273
